ean,produto,marca,farmacia,preco com desconto,preco sem desconto,% desconto,descricao
7898040329679,Floratil AT 250mg com 06 Cápsulas,FLORATIL,A Nossa Drogaria,28.99,49.18,41.05327368849125,Floratil AT está indicado na prevenção da diarreia causada por antibióticos e como auxiliar no tratamento da diarreia causada pelo micróbio Clostridiu
7891158105739,Suplemento Nutricional Ensure Pó Advanced Café 850g,ENSURE,A Nossa Drogaria,192.69,202.74,4.957087895827172,
7891058018245,Kit Sabonete Íntimo Dermacyd Delicata Compre 200ml Leve 100ml,DERMACYD,A Nossa Drogaria,31.99,41.59,23.082471748016363,Kit Sabonete Íntimo Dermacyd Delicata Compre 200ml Leve 100ml
7622210566409,Chocolate Lacta Bis Xtra Black 45g,LACTA,A Nossa Drogaria,3.89,3.89,0.0,
7896004782546,Dipirona 1G com 10 Comprimidos EMS,EMS,A Nossa Drogaria,14.49,21.35,32.131147540983605,Dipirona é utilizado no tratamento da dor e febre.
7500435146470,Fralda Pampers Confort Sec Pants M 84 Unidades,PAMPERS,A Nossa Drogaria,99.99,129.99,23.07869836141243,"Experimente a nova Pampers confort sec Pants! Com cintura elástica 360 é facil de pôr mesmo quando eles estão em movimento, para um ajuste perfeito e "
7896862920029,Gripinew com 20 comprimidos,GRIPINEW,A Nossa Drogaria,10.89,23.29,53.2417346500644,"Gripinew é indicado para alívio dos sintomas decorrentes das gripes e resfriados, como dores de cabeça, febre e processos alérgicos. É formado por uma"
7896714275321,Vitaminas Neo Química Imune com 30 Comprimidos,CENTROTABS,A Nossa Drogaria,25.79,62.69,58.861062370394,Vitamina Neo Química Imune é um suplemento alimentar composto de vitaminas e mineiras que auxiliam no sistema imunologico.
7891142981608,Kit Protetor Solar Episol Sec Oc Fps 60 60g Grátis Sabonete Líquido Epidac Oc 60g,EPISOL,A Nossa Drogaria,69.89,90.86,23.079462909971383,"Eidac OC é um sabonete que limpa profundamente a pele, controlando a oleosidade por até 12 horas, sem causar irritações ou ressecamento. Possui em sua"
7500435146494,Fralda Pampers Confort Sec Pants XG 66 Unidades,PAMPERS,A Nossa Drogaria,99.99,129.99,23.07869836141243,"Experimente a nova Pampers confort sec Pants! Com cintura elástica 360 é facil de pôr mesmo quando eles estão em movimento, para um ajuste perfeito e "
