,sku,produto,marca,farmacia,preco com desconto,preco sem desconto,% desconto,descricao
8224,9991335,Fio Dental Premium Oral Nexter Extra Fino Menta 100m,Nexter,Drogal,9.99,9.99,0.0,A linha Premium Oral Nexter foi desenvolvida especialmente para a limpeza dos dentes mantendo a saúde bucal mais completa e eficiente. Compre na farmácia online Drogal.
8225,9995453,Loção Hidratante Cetaphil 200ml,Cetaphil,Drogal,75.09,75.09,0.0,Compre Loção Hidratante Cetaphil 200ml com melhor preço e condição na farmácia online Drogal.
8226,9989906,Hidratante em Gel Facial Nivea 100g,Nivea,Drogal,34.75,34.75,0.0,O Hidratante em gel com ácido hialurônico e pepino. Textura mais leve que o creme facial. Não obstrui os poros e hidrata por 24h. Cuide bem da sua pele! Compre na farmácia online Drogal.
8227,9983731,Aparelho de Depilar Gillette Venus Suave 4 Unidades,Gillette,Drogal,26.89,26.89,0.0,Compre Aparelho de Depilar Gillette Venus Suave 4 Unidades com melhor preço e condição na farmácia online Drogal.
8228,5740031,Sabonete Líquido Protex Limpeza Profunda Original 250ml,Protex,Drogal,14.79,14.79,0.0,Compre Sabonete Líquido Protex Limpeza Profunda Original 250ml com melhor preço e condição na farmácia online Drogal.
8229,9983249,Sabonete Íntimo Líquido Protex Delicate Care 40ml,Protex,Drogal,5.99,5.99,0.0,Sabonete Liquido Intimo Protex Delicate Care ajuda a manter a defesa natural da região íntima. Na Drogal você encontra os melhores produtos para higiene pessoal.
8230,9993873,Absorvente Sempre Livre Adapt Cobertura Suave Com Abas 32 Unidades,Sempre Livre,Drogal,19.99,19.99,0.0,Compre Absorvente Sempre Livre Adapt Cobertura Suave Com Abas 32 Unidades com melhor preço e condição na farmácia online Drogal.
8231,9230053,Protetor Diário Carefree Original 80 Unidades,Carefree,Drogal,25.75,25.75,0.0,"Carefree Proteção é perfeito para o comecinho e finalzinho da menstruação. Sua película protetora retém leves fluxos e pequenos escapes, mantendo a calcinha limpa e seca. Na Drogal você encontra os melhores produtos."
8232,6068391,Shampoo Anticaspa Clear Men Ice Cool Menthol 200ml,Clear,Drogal,21.25,21.25,0.0,Compre Shampoo Anticaspa Clear Men Ice Cool Menthol 200ml com melhor preço e condição na farmácia online Drogal.
8233,8440182,Creme Dental Sensodyne Pro-Esmalte Sabor Menta 50g,Sensodyne,Drogal,15.49,15.49,0.0,Compre Creme Dental Sensodyne Pro-Esmalte Sabor Menta 50g com melhor preço e condição na farmácia online Drogal.
8234,9981294,Fraldas Descartáveis Geriátrica Qualifral M 8 Unidades,Nivea,Drogal,43.19,43.19,0.0,Compre Gel Firmador Nivea Q10 Bye Bye Celulite 200g com melhor preço e condição na farmácia online Drogal.
8235,5101522,Gel Firmador Nivea Q10 Bye Bye Celulite 200g,Qualifral,Drogal,22.99,22.99,0.0,"Fralda Geriátrica Qualifral é a melhor opção para incontinência urinária, garantindo maior absorção e retenção de líquidos. Na Drogal você encontra os melhores produtos."
8236,9993848,Desodorante  Antitranspirante Aerossol Above Men Sport Energy 48h 150ml,Above,Drogal,7.89,7.89,0.0,Compre Desodorante  Antitranspirante Aerossol Above Men Sport Energy 48h 150ml com melhor preço e condição na farmácia online Drogal.
8237,9980217,Roupa Íntima Plenitud Plus para Incontinência G/XG 16 Unidades,Plenitud,Drogal,79.59,79.59,0.0,Compre Roupa Íntima Plenitud Plus para Incontinência G/XG 16 Unidades com melhor preço e condição na farmácia online Drogal.
8238,9996328,Corega Tabs Branqueador 6 Pastilhas Efervescentes,Corega,Drogal,8.39,8.39,0.0,Compre Corega Tabs Branqueador 6 Pastilhas Efervescentes com melhor preço e condição na farmácia online Drogal.
8239,9982325,Lenço de Papel de Bolso Kleenex Dia a Dia 40 Unidades,Kleenex,Drogal,7.65,7.65,0.0,Compre Lenço de Papel de Bolso Kleenex Dia a Dia 40 Unidades com melhor preço e condição na farmácia online Drogal.
8240,9232753,Absorvente Sempre Livre Adapt Suave sem abas 8 Unidades,Sempre Livre,Drogal,6.15,6.15,0.0,O Sempre Livre Adapt oferece até 6 horas proteção e um formato que se ajusta a qualquer calcinha. Seu formato é mais estreito atrás e não marca a roupa. Na Drogal você encontra os melhores produtos.
8241,81795,Gel Hidratante Intravaginal Vagidrat 30g + 10 Aplicadores,Theramex,Drogal,149.19,149.19,0.0,Compre Gel Hidratante Intravaginal Vagidrat 30g + 10 Aplicadores com melhor preço e condição na farmácia online Drogal.
