url,preco com desconto,preco sem desconto
https://www.santoremedio.com.br/fralda-pom-pom-derma-protex-p-pacote-30un,"R$ 35,99","R$ 35,99"
https://www.santoremedio.com.br/fralda-derma-protek-jumbo-tamanho-xxg-pom-pom-18un,"R$ 35,99","R$ 35,99"
https://www.santoremedio.com.br/fralda-pompom-derma-protek-mega-md-48un,"R$ 57,99","R$ 57,99"
https://www.santoremedio.com.br/fraldas-descartaveis-tamanho-g-turma-da-monica-baby-24un,"R$ 31,99","R$ 31,99"
https://www.santoremedio.com.br/fralda-turma-da-monica-baby-xg-20-unidades,"R$ 31,99","R$ 31,99"
https://www.santoremedio.com.br/hastes-flex-voike-150un,"R$ 7,99","R$ 7,99"
https://www.santoremedio.com.br/hastes-flexiveis-ecologicas-voike-150un,"R$ 6,49","R$ 6,49"
https://www.santoremedio.com.br/absorvente-para-seios-voike-12un,"R$ 15,99","R$ 15,99"
https://www.santoremedio.com.br/sab-liq-inf-palmolive-pump-220ml-clg,"R$ 19,90","R$ 19,90"
https://www.santoremedio.com.br/sab-granado-bebe-glic-lavanda-90g,"R$ 6,99","R$ 6,99"
https://www.santoremedio.com.br/fralda-shortinho-tamanho-m-pompom-36un,"R$ 44,99","R$ 44,99"
https://www.santoremedio.com.br/compressas-refresc-p-febre-babydeas-4un,"R$ 57,09","R$ 57,09"
https://www.santoremedio.com.br/adesivo-termofriend-babydeas-mon-feb-4un,"R$ 49,99","R$ 49,99"
https://www.santoremedio.com.br/sabonete-granado-90g,"R$ 6,99","R$ 6,99"
https://www.santoremedio.com.br/leite-nestogeno-1-f-infantil-400g,"R$ 27,99","R$ 27,99"
https://www.santoremedio.com.br/kit-mundial-alicate-esp-sandy-junior,"R$ 10,69","R$ 10,69"
https://www.santoremedio.com.br/formula-infantil-2-nestogeno-800g,"R$ 52,99","R$ 52,99"
https://www.santoremedio.com.br/talco-baby-poppy-pato-c-100g,"R$ 14,99","R$ 14,99"
https://www.santoremedio.com.br/oleo-suave-erva-doce-granado-bebe-frasco-120ml,"R$ 37,99","R$ 37,99"
https://www.santoremedio.com.br/sabonete-liquido-baby-dove-hidratacao-sensivel-200ml,"R$ 19,99","R$ 19,99"
https://www.santoremedio.com.br/camomilina-c-theraskin-caixa-com-20-capsulas,"R$ 52,09","R$ 52,09"
https://www.santoremedio.com.br/formula-infantil-premium-1-aptamil-400g,"R$ 39,99","R$ 39,99"
https://www.santoremedio.com.br/formula-infantil-pepti-aptamil-400g,"R$ 149,49","R$ 149,49"
https://www.santoremedio.com.br/aptamil-proexpert-s-lactose-400g-dan,"R$ 119,37","R$ 119,37"
https://www.santoremedio.com.br/pregomin-peptil-400g,"R$ 220,99","R$ 220,99"
https://www.santoremedio.com.br/kit-bebe-organico-col-50ml-peluc-azul,"R$ 64,99","R$ 64,99"
https://www.santoremedio.com.br/formula-infantil-ar-aptamil-800g,"R$ 89,99","R$ 89,99"
https://www.santoremedio.com.br/trion-junior-sabor-chocolate-ao-leite-dovalle-300g,"R$ 49,16","R$ 73,99"
https://www.santoremedio.com.br/formula-infantil-p-lactentes-soja-aptamil-proexpert-400g,"R$ 74,99","R$ 74,99"
https://www.santoremedio.com.br/copo-nuk-mini-magic-cup-360-boy-c-160ml,"R$ 55,99","R$ 55,99"
https://www.santoremedio.com.br/formula-infantil-nan-espessar-800g,"R$ 78,99","R$ 78,99"
https://www.santoremedio.com.br/bye-bye-fever-para-bebes-com-2-unidades,"R$ 12,99","R$ 12,99"
https://www.santoremedio.com.br/bye-bye-fever-para-criancas-c-2un-hsm,"R$ 12,99","R$ 12,99"
https://www.santoremedio.com.br/fralda-huggies-natural-care-p-36-unidades,"R$ 59,99","R$ 59,99"
https://www.santoremedio.com.br/fralda-huggies-natural-care-g-28-unidades,"R$ 59,99","R$ 59,99"
https://www.santoremedio.com.br/leite-nan-confor-de-1-a-3-anos-800g,"R$ 60,29","R$ 66,99"
https://www.santoremedio.com.br/fralda-huggies-tripla-protecao-jumbo-m-28un,"R$ 41,99","R$ 41,99"
https://www.santoremedio.com.br/aptamil-2-800g,"R$ 69,79","R$ 76,99"
https://www.santoremedio.com.br/formula-infantil-proexpert-pepti-aptamil-800g,"R$ 381,65","R$ 381,65"
https://www.santoremedio.com.br/fralda-roupinha-natural-care-tamanho-xg-huggies-22un,"R$ 45,99","R$ 59,99"
https://www.santoremedio.com.br/sabonete-infantil-barra-glicerinado-pom-pom-70g,"R$ 3,99","R$ 3,99"
https://www.santoremedio.com.br/copo-termico-buba-pared-dup-c-canud-ros,"R$ 75,99","R$ 75,99"
https://www.santoremedio.com.br/prendedor-chup-buba-coracoes,"R$ 7,31","R$ 12,99"
https://www.santoremedio.com.br/prendedor-chup-buba-safari,"R$ 12,99","R$ 12,99"
https://www.santoremedio.com.br/protetor-para-seios-de-silicone-com-caixa-protetora-buba-2un,"R$ 12,27","R$ 18,99"
https://www.santoremedio.com.br/kit-talher-buba-girafilha,"R$ 19,99","R$ 19,99"
https://www.santoremedio.com.br/copo-buba-treinamen-c-alca-remov-rosa,"R$ 24,99","R$ 24,99"
https://www.santoremedio.com.br/colonia-hell-kitty-splash-pop-c-215ml,"R$ 16,99","R$ 16,99"
https://www.santoremedio.com.br/copo-buba-treinamen-c-alca-remov-azul,"R$ 24,99","R$ 24,99"
https://www.santoremedio.com.br/colher-buba-flexivel-sortido,"R$ 8,68","R$ 9,99"
https://www.santoremedio.com.br/conjunto-escova-e-pente-kuka-soft-rosa-ref-7258-2-pecas,"R$ 28,99","R$ 28,99"
https://www.santoremedio.com.br/sustagen-baunilha-400g-mej,"R$ 76,99","R$ 76,99"
https://www.santoremedio.com.br/sab-giovanna-baby-veg-baby-kids-90g,"R$ 3,99","R$ 3,99"
https://www.santoremedio.com.br/colonia-pompom-100ml-pom,"R$ 17,99","R$ 17,99"
https://www.santoremedio.com.br/sabonete-liquido-granado-bebe-glicerina-refil-250ml,"R$ 20,99","R$ 20,99"
https://www.santoremedio.com.br/alcool-gel-giovanna-baby-classic-com-60ml,"R$ 10,89","R$ 10,89"
https://www.santoremedio.com.br/sabonete-liquido-infantil-dermacyd-frasco-200ml,"R$ 26,99","R$ 26,99"
https://www.santoremedio.com.br/nene-dent-em-gel-takeda-10g,"R$ 18,03","R$ 18,03"
https://www.santoremedio.com.br/locao-hidrat-tdm-hid-intensa-200ml,"R$ 21,99","R$ 21,99"
https://www.santoremedio.com.br/locao-hidrat-tdm-hid-levinha-200ml,"R$ 21,99","R$ 21,99"
https://www.santoremedio.com.br/po-p-preparo-de-bebida-chocolate-sustagen-adultos-lata-400g,"R$ 76,99","R$ 76,99"
