,ids
2387,874280
2388,946460
2389,564600
2390,582700
2391,97576
2392,99684
2393,100003
2394,97718
2395,96031
2396,96032
2397,848780
2398,10001677
2399,107499
2400,104158
2401,104564
2402,114587
2403,112021
2404,118332
2405,113097
2406,105340
2407,105891
2408,110458
2409,110482
2410,101573
2411,874480
2412,875120
2413,878390
2414,880040
2415,857450
2416,673560
2417,564720
2418,644380
2419,100719
2420,97109
2421,97638
2422,99702
2423,99960
2424,98148
2425,96029
2426,111346
2427,111516
2428,410910
2429,102297
2430,102250
2431,102291
2432,102849
2433,101909
2434,105784
2435,103334
2436,104779
2437,105193
2438,101217
2439,101341
2440,101340
2441,113872
2442,112643
2443,112987
2444,113087
2445,110263
2446,110330
2447,110829
2448,114482
2449,114484
2450,97362
2451,97654
2452,98154
2453,98159
2454,99347
2455,99707
2456,96205
2457,96763
2458,98746
2459,95883
2460,95833
2461,692320
2462,564590
2463,651900
2464,100362
2465,100651
2466,100063
2467,10005354
2468,107940
2469,115292
2470,345450
2471,126880
2472,432300
2473,440220
2474,107079
2475,107077
2476,107771
2477,104178
2478,104169
2479,104408
2480,104697
2481,113645
2482,117319
2483,117321
2484,119449
2485,116304
