,Título,Marca,Preço sem Desconto,Preço com Desconto,ID,SKU
186,GEL FACIAL DIARIO BEPANTOL DERMA LIMPEZA DELICADA 200ML,BEPANTOL,,"R$ 57,90",9991108,103793
187,LOCAO FACIAL NOTURNA BEPANTOL DERMA 50ML,BEPANTOL,,"R$ 64,90",5719929,97714
188,LOCAO HIDRATANTE UREADIN ISDIN 10% 200ML,ISDIN,,"R$ 70,40",5719906,91145
189,CREME DE PES UREADIN ISDIN PODOS GEL OIL 75ML,ISDIN,,"R$ 77,90",5714901,94984
190,ISDIN FPS50 FUSION FLUID MINER 50M 5214,ISDIN,,"R$ 104,90",5719930,97788
191,LOCAO HIDRATANTE UREADIN ISDIN 10% PUMP 400GR,ISDIN,,"R$ 106,90",9993012,105059
192,PROTETOR SOLAR GEL CREAM ISDIN FPS50 198GR,ISDIN,,"R$ 78,90",9993015,105062
193,PROTETOR SOLAR ISDIN FPS60 FUSION WATER OIL CONTROL 30M...,ISDIN,,"R$ 69,90",9993011,105058
194,AGUA MICELAR ISDIN SOLUTION 400ML,ISDIN,,"R$ 90,90",9991612,104308
195,CREME ANTI-IDADE PARA AREA DOS OLHOS ISDINCEUTICS K-OX ...,ISDIN,,"R$ 229,90",5719913,91144
196,"CREME DE MAOS UREADIN ISDIN 51,5G 3349",ISDIN,,"R$ 66,90",5718902,93281
197,CREME DE PES UREADIN ISDIN PODOS DIABETE 102G,ISDIN,,"R$ 100,90",9991704,104406
198,LOCAO HIDRATANTE ISDIN UREADIN 10 DE UREIA PELE SECA 10...,ISDIN,,"R$ 34,90",5719923,97210
199,PROTETOR SOLAR ISDIN FPS50 AGE REPAIR ULTRA FUSION WATE...,ISDIN,"R$ 149,90","R$ 143,90",9991773,104483
200,SERUM FACIAL ISDINCEUTICS FLAVO-C ULTRAGLICAN C/10 UNI,ISDIN,,"R$ 174,90",9993008,105055
201,"CANETA FORTALECEDORA DE UNHAS ISDIN SI NAIL 2,5ML",ISDIN,,"R$ 126,47",5718606,98647
202,CREME ANTIESTRIAS ISDIN WOMAN HIDRATANTE 250ML,ISDIN,,"R$ 136,90",5719918,94988
203,GEL CR FACIAL ISDIN NUTRADEICA PELE DESCAMATIVA 50ML,ISDIN,,"R$ 121,90",5719922,93276
204,GEL DE BANHO UREADIN ISDIN 424GR,ISDIN,,"R$ 77,90",9991703,104405
205,HIDRATANTE GEL DE BANHO ISDIN UREADIN 100ML,ISDIN,,"R$ 29,90",5719924,97211
206,PROTETOR SOLAR CORPO ISDIN FPS50 HYDRO LOTION 200ML,ISDIN,"R$ 120,90","R$ 110,90",5719911,94985
