URL,Preço sem desconto,Preço com desconto
https://farmaciapermanente.com.br/domperidona-10mg-eurofarma-caixa-30-comprimidos,"23,09","15,99"
https://farmaciapermanente.com.br/nebacetin-pomada-50g,"51,38","42,49"
https://farmaciapermanente.com.br/utrogestan-200mg-besins-healthcare-caixa-14-capsulas,"75,12","65,35"
https://farmaciapermanente.com.br/massageol-spray-120ml,"54,76","27,99"
https://farmaciapermanente.com.br/advil-mulher-400mg-analgesico-para-alivio-da-colica-menstrual-blister-com-10-capsulas-liquidas,"30,30","23,99"
https://farmaciapermanente.com.br/buscopan-20-drageas-10mg,"22,63","21,98"
https://farmaciapermanente.com.br/xantinon-takeda,"15,19","14,99"
https://farmaciapermanente.com.br/succinato-de-metoprolol-50mg-medley-caixa-30-comprimidos-revestidos,"47,93","31,49"
https://farmaciapermanente.com.br/tioconazol-tinidazol-ems-caixa-35g-7-aplicadores,"72,43","45,49"
https://farmaciapermanente.com.br/loratadina-1-mg-ml-xarope-biosintetica-generico,"36,59","16,99"
https://farmaciapermanente.com.br/florax-5-flaconetes-de-5ml-100-milhoes-ml,"53,13","51,99"
https://farmaciapermanente.com.br/antialergico-allegra-120-mg-10-comprimidos,"R$ 88,05","R$ 88,05"
https://farmaciapermanente.com.br/proctan-pomada-para-hemorroidas-proporciona-alivio-rapido-das-dores-e-incomodo-25g-6-aplicadores,"59,39","46,82"
https://farmaciapermanente.com.br/rehidrat-50-4-envelopes-eurofarma,"35,15","33,39"
https://farmaciapermanente.com.br/nasonex-50mcg-atomizacao-schering-plough-caixa-9g,"47,20","41,06"
https://farmaciapermanente.com.br/lactuliv-sabor-salada-de-frutas-solucao-oral-120ml,"25,25","23,99"
https://farmaciapermanente.com.br/budesonida-64mcg-ems-caixa-suspensao-spray,"50,40","38,49"
https://farmaciapermanente.com.br/vonau-flash-8mg-biolab-caixa-10-comprimidos,"90,84","84,48"
https://farmaciapermanente.com.br/provance-sabor-morango-10-comprimidos,"R$ 50,97","R$ 50,97"
https://farmaciapermanente.com.br/cetoprofeno-50mg-ems-caixa-24-capsulas,"37,67","19,99"
https://farmaciapermanente.com.br/pastilha-benalet-mel-limao-blister-4-pastilhas,"13,72","12,99"
https://farmaciapermanente.com.br/probiotico-enterogermina-tamanho-familia-20-frascos,"78,99","64,16"
https://farmaciapermanente.com.br/dimegas-75mg-gotas,"10,88","5,99"
https://farmaciapermanente.com.br/infralax-ems-caixa-15-comprimidos,"24,06","9,99"
https://farmaciapermanente.com.br/dexclorfeniramina-histamin-creme-30g,"19,86","14,99"
https://farmaciapermanente.com.br/torsilax-neo-quimica-caixa-30-comprimidos,"33,74","19,99"
https://farmaciapermanente.com.br/digeplus-achecaixa-30-capsulas,"53,85","50,08"
https://farmaciapermanente.com.br/budesonida-32mcg-ems-caixa-1-frasco,"28,42","22,99"
https://farmaciapermanente.com.br/hyabak-solucao-oftamilca-genom-0-15-10ml,"79,42","69,49"
https://farmaciapermanente.com.br/sanasar-250mg-ml-locao-emulsao-topica-frasco-com-100ml,"21,58","19,99"
https://farmaciapermanente.com.br/prolopa-bd-125mg-caixa-60-comp,"124,05","105,44"
https://farmaciapermanente.com.br/vick-drops-sabor-laranja-com-5-pastilhas,"4,09","3,49"
https://farmaciapermanente.com.br/clor-fexofenadina-180mg-10cpr-gen-cimed,"75,85","42,99"
https://farmaciapermanente.com.br/cutisanol-po-150g,"55,21","54,99"
https://farmaciapermanente.com.br/sal-de-fruta-eno-tradicional-antiacido-para-azia-e-ma-digestao-frasco-100g,"28,78","21,49"
https://farmaciapermanente.com.br/paracetamol-bebe-100mg-ml-suspensao-oral-15ml-ems,"24,22","18,99"
https://farmaciapermanente.com.br/acido-mefen-500mg-medley-caixa-12-comprimidos,"11,96","11,49"
https://farmaciapermanente.com.br/neosaldina-30-drageas-takeda,"42,13","34,49"
https://farmaciapermanente.com.br/acido-acetilsalicilico-100mg-infantil-30-comprimidos-ems,"12,17","9,99"
https://farmaciapermanente.com.br/colirio-claril-alcon-15ml,"22,40","19,98"
https://farmaciapermanente.com.br/pantoprazol-sadico-sesqui-hidratado-20mg-medley-caixa-42-comprimidos-revestidos,"59,65","30,49"
https://farmaciapermanente.com.br/clenil-a-400mcg-ml-chiesi-caixa-10-flaconetes-2ml-cada,"87,30","76,82"
https://farmaciapermanente.com.br/dramavit-b6-neo-quimica-caixa-20ml-solucao-gotas,"17,98","11,99"
https://farmaciapermanente.com.br/naramig-2-5mg-gsk-caixa-4-comprimidos-revestidos,"26,54","25,21"
https://farmaciapermanente.com.br/creme-preventivo-contra-assaduras-hipoglos-nutre-e-recupera-amendoas-40g,"29,56","27,99"
https://farmaciapermanente.com.br/supositorio-glic-infant-granado-c-12,"24,73","23,49"
